denomination_name,denomination_id,published_churches_count,churches_urban,churches_rural,members_total,members_urban,members_rural,members_average_total,members_average_urban,members_average_rural,members_male,members_female,members_sex_unreported,members_over_13,members_under_13,members_age_unreported,church_edifices,churches_reporting_value,churches_value,churches_average_value,churches_reporting_debt,churches_debt,urban_church_edifices,urban_churches_reporting_value,urban_churches_value,urban_churches_average_value,urban_churches_reporting_debt,urban_churches_debt,rural_church_edifices,rural_churches_reporting_value,rural_churches_value,rural_churches_average_value,rural_churches_reporting_debt,rural_churches_debt,churches_reporting_expenditures,total_expenditures,expenses,benevolences,unclassified_expenditures,expenditures_average,urban_churches_reporting_expenditures,urban_total_expenditures,urban_expenses,urban_benevolences,urban_unclassified_expenditures,urban_expenditures_average,rural_churches_reporting_expenditures,rural_total_expenditures,rural_expenses,rural_benevolences,rural_unclassified_expenditures,rural_expenditures_average,parsonage_value_churches_reporting,parsonage_value,parsonage_value_average,parsonage_debt_churches_reporting,parsonage_debt,sunday_schools_churches_reporting,sunday_schools_officers_teachers,sunday_schools_scholars,sunday_schools_scholars_average,urban_sunday_schools_churches_reporting,urban_sunday_schools_officers_teachers,urban_sunday_schools_scholars,urban_sunday_schools_scholars_average,rural_sunday_schools_churches_reporting,rural_sunday_schools_officers_teachers,rural_sunday_schools_scholars,rural_sunday_schools_scholars_average,Start Table 33,black_part_whole_churches,black_churches_total ,black_churches_urban,black_churches_rural,black_members_total,black_members_urban,black_members_rural,black_members_average_total,black_members_average_urban,black_members_average_rural,black_members_male,black_members_female,black_members_sex_unreported,Start Table 34,black_church_edifices,black_churches_reporting_value,black_churches_value,black_churches_average_value,black_churches_reporting_debt,black_churches_debt,black_urban_church_edifices,black_urban_churches_reporting_value,black_urban_churches_value,black_urban_churches_average_value,black_urban_churches_reporting_debt,black_urban_churches_debt,black_rural_church_edifices,black_rural_churches_reporting_value,black_rural_churches_value,black_rural_churches_average_value,black_rural_churches_reporting_debt,black_rural_churches_debt,Start Table 35,black_churches_reporting_expenditures,black_total_expenditures,black_expenses,black_benevolences,black_unclassified_expenditures,black_expenditures_average,black_urban_churches_reporting_expenditures,black_urban_total_expenditures,black_urban_expenses,black_urban_benevolences,black_urban_expenditures_average,black_rural_churches_reporting_expenditures,black_rural_total_expenditures,black_rural_expenses,black_rural_benevolences,black_rural_expenditures_average,Start Table 36,black_parsonage_value_churches_reporting,black_parsonage_value,black_parsonage_value_average,black_parsonage_debt_churches_reporting,black_parsonage_debt,black_sunday_schools_churches_reporting,black_sunday_schools_officers_teachers,black_sunday_schools_scholars,black_sunday_schools_scholars_average,black_urban_sunday_schools_churches_reporting,black_urban_sunday_schools_officers_teachers,black_urban_sunday_schools_scholars,black_urban_sunday_schools_scholars_average,black_rural_sunday_schools_churches_reporting,black_rural_sunday_schools_officers_teachers,black_rural_sunday_schools_scholars,black_rural_sunday_schools_scholars_average
Social Brethren,1-8-4,22,1,21,1214,164,1050,55,164,50,431,700,83,1109,17,88,19,19,24500,1289,1,50,1,1,2000,NA,NA,NA,18,18,22500,1250,1,50,16,4019,3519,300,200,251,1,490,490,NA,NA,NA,15,3529,3029,300,200,235,NA,NA,NA,NA,NA,7,42,425,61,1,12,150,NA,6,30,275,46,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National Spiritualist Association,1-8-6,543,517,26,41233,37703,3530,76,73,136,10207,16531,14495,30042,470,10721,87,86,1307356,15202,36,146180,75,74,1118656,15117,35,145700,12,12,18700,15725,1,480,463,475842,344668,74003,57171,1028,444,443025,330376,70901,41748,998,19,32817,14292,3102,15423,1727,5,47550,9510,NA,NA,86,430,5412,63,82,409,4756,58,4,21,656,164,,543,17,17,NA,904,904,NA,53,53,NA,100,176,628,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9,7655,6114,1541,NA,851,9,7655,6114,1541,851,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,1,10,NA,1,1,10,NA,NA,NA,NA,NA
Progressive Spiritual Church,1-8-7,9,9,NA,7383,7383,NA,820,820,NA,2996,4387,NA,7383,NA,NA,7,3,32800,10933,NA,NA,7,3,32800,10933,NA,NA,NA,NA,NA,NA,NA,NA,9,28469,25834,2635,NA,3163,9,28469,25834,2635,NA,3163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,46,NA,1,10,46,NA,NA,NA,NA,NA,,9,1,1,NA,500,500,NA,NA,NA,NA,200,300,NA,,1,1,3800,NA,NA,NA,1,1,3800,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,2125,2000,125,NA,NA,1,2125,2000,125,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
National Spiritual Alliance of the United States of America,2-3-7,59,55,4,2015,1772,243,34,32,61,719,1206,90,1779,36,200,5,5,44000,8800,4,23550,4,4,34000,8500,4,23550,1,1,10000,NA,NA,NA,37,27197,24529,2126,542,735,35,25485,23059,2126,300,728,2,1712,1470,NA,242,856,NA,NA,NA,NA,NA,5,10,94,19,5,10,94,19,NA,NA,NA,NA,,59,8,7,1,190,173,17,24,25,NA,64,126,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2,413,200,213,NA,207,2,413,200,213,207,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,23,NA,1,2,23,NA,NA,NA,NA,NA
Temple Society in America,1-8-8,2,1,1,164,138,26,82,NA,NA,64,100,NA,154,10,NA,2,2,13200,6600,NA,NA,1,1,12000,NA,NA,NA,1,1,1200,NA,NA,NA,2,1940,1742,198,NA,970,1,1708,1640,68,NA,NA,1,232,102,130,NA,NA,1,600,NA,NA,NA,2,20,106,58,1,9,50,NA,1,11,56,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America Theosophical Society,1-9-1,223,215,8,7448,6639,141,30,31,18,2366,4414,668,7448,NA,NA,11,11,121850,11077,10,54901,11,11,121850,11077,10,54901,NA,NA,NA,NA,NA,NA,205,140205,78514,58091,3600,684,198,139167,78466,57101,3600,703,7,1038,48,990,NA,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Theosophical Society of New York, Independent",1-9-0,1,1,NA,55,55,NA,55,55,NA,30,25,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1000,840,160,NA,NA,1,1000,840,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Universal Brotherhood and Theosophical Society,1-9-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unitarians,1-9-3,353,296,57,60152,55445,4707,170,187,83,22748,32453,4951,57343,595,2184,388,337,27713554,82236,72,1172920,326,281,26473654,94212,64,1163420,62,56,1239900,22141,8,9500,344,3418975,3120816,255759,42400,9939,290,3276692,2991411,242881,42400,11299,54,142283,129283,12878,NA,2635,143,1485953,10391,23,97990,317,3025,19722,62,271,2716,17829,66,46,309,1893,41,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Church of the United Brethren in Christ,1-9-4,2988,496,2492,377436,155860,221576,126,314,89,151496,212761,13179,314428,31963,31045,2902,2877,28520619,9913,469,4128238,500,490,16430245,33531,250,3304191,2402,2387,12090374,5065,219,824047,2918,6976440,5720499,1228676,27265,2391,495,3835059,3164555,668022,2482,7748,2423,3141381,2555944,560654,24783,1296,1319,4764191,3512,216,440227,2739,38278,376982,138,487,12434,160080,329,2252,25844,216902,96,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Church of the United Brethren in Christ (Old Constituion),1-9-5,372,38,334,17872,2955,14917,48,78,45,6933,10600,339,15334,856,1682,339,338,1022660,3026,27,26335,36,36,233400,6483,14,16035,303,302,789260,2613,13,10300,359,341687,259428,73211,9048,952,36,79208,66769,11739,700,2200,323,262479,192659,61472,8348,813,132,284300,2154,26,20475,344,3725,23214,67,38,494,4242,112,306,3231,18972,62,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Christian Church,2-1-7,15,3,12,577,120,457,38,40,38,248,329,NA,543,NA,34,9,9,35400,3933,1,1200,2,2,8700,4350,1,1200,7,7,26700,3814,NA,NA,11,2946,2296,250,400,268,2,1025,900,125,NA,513,9,1921,1396,125,400,213,NA,NA,NA,NA,NA,5,70,553,111,1,17,157,NA,4,53,396,99,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Universalist Church,1-9-7,498,244,254,54957,41475,13482,110,170,53,18635,31745,4577,49835,676,4446,498,470,15826940,33674,68,450798,253,231,14265642,61756,57,428896,245,239,1561298,6533,11,21902,470,1616624,1435798,149362,31464,3440,235,1368270,1216958,124750,26562,5822,235,248354,218840,24612,4902,1057,164,1082777,6602,26,71640,350,4045,24738,71,211,2861,18188,86,139,1184,6550,47,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vedanta Society,1-9-8,3,3,NA,200,200,NA,67,67,NA,75,125,NA,200,NA,NA,2,2,45000,22500,1,15000,2,2,45000,22500,1,15000,NA,NA,NA,NA,NA,NA,3,15686,3000,500,12186,5229,3,15686,3000,500,12186,5229,NA,NA,NA,NA,NA,NA,2,20000,10000,1,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Volunteers of America,1-9-9,133,127,6,28756,26747,2009,216,211,335,21539,7217,NA,26414,2331,11,27,25,573809,22952,16,154476,27,25,573809,22952,16,154476,NA,NA,NA,NA,NA,NA,102,728612,321754,215003,191855,7143,102,728612,321754,215003,191855,7143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,761,9942,124,77,724,9569,124,3,37,373,124,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
